carat,cut,color,clarity,x,y,z,price,cut/wt,color/wt,clarity/wt
0.31,3,2,4,4.31,4.34,2.71,6.599,9.67741935483871,6.451612903225807,12.903225806451614
0.32,4,1,2,4.41,4.38,2.71,6.356,12.5,3.125,6.25
0.4,2,2,2,4.73,4.7,3.01,6.682,5.0,5.0,5.0
0.52,3,3,4,5.12,5.16,3.21,7.396,5.769230769230769,5.769230769230769,7.692307692307692
1.11,4,5,2,6.67,6.63,4.09,8.447,3.603603603603603,4.504504504504504,1.8018018018018016
1.01,6,2,3,6.33,6.38,3.93,8.668,5.9405940594059405,1.9801980198019802,2.9702970297029703
0.53,3,2,4,5.23,5.21,3.22,7.579,5.660377358490566,3.773584905660377,7.547169811320754
1.72,6,1,3,7.63,7.7,4.77,9.677,3.488372093023256,0.5813953488372093,1.744186046511628
0.81,6,1,2,5.91,5.99,3.71,7.97,7.4074074074074066,1.2345679012345678,2.4691358024691357
0.32,4,5,5,4.4,4.35,2.73,6.579,12.5,15.625,15.625
0.34,3,4,7,4.46,4.49,2.78,6.797,8.823529411764705,11.76470588235294,20.588235294117645
0.54,3,3,4,5.2,5.25,3.21,7.416,5.555555555555555,5.555555555555555,7.4074074074074066
0.55,3,1,3,5.26,5.28,3.25,7.391,5.454545454545454,1.8181818181818181,5.454545454545454
0.38,4,7,3,4.62,4.68,2.85,6.24,10.526315789473685,18.42105263157895,7.894736842105263
1.0,2,4,2,6.22,6.34,3.98,8.21,2.0,4.0,2.0
0.35,2,1,5,4.49,4.54,2.85,6.497,5.714285714285714,2.857142857142857,14.285714285714286
0.44,2,3,3,4.85,4.8,3.08,6.877,4.545454545454546,6.818181818181818,6.818181818181818
1.13,4,4,6,6.73,6.68,4.12,8.99,3.5398230088495577,3.5398230088495577,5.3097345132743365
1.02,3,5,4,6.47,6.44,4.0,8.645,2.941176470588235,4.901960784313726,3.9215686274509802
1.0,4,3,6,6.46,6.5,3.88,9.042,4.0,3.0,6.0
0.44,6,5,7,4.83,4.87,3.06,6.924,13.636363636363637,11.363636363636363,15.909090909090908
0.34,6,6,4,4.44,4.48,2.77,6.168,17.64705882352941,17.64705882352941,11.76470588235294
0.41,3,1,4,4.76,4.79,2.98,6.841,7.317073170731708,2.4390243902439024,9.75609756097561
0.4,4,1,4,4.75,4.72,2.93,6.882,10.0,2.5,10.0
0.74,6,5,5,5.74,5.77,3.56,7.904,8.108108108108109,6.756756756756757,6.756756756756757
0.33,3,4,8,4.39,4.44,2.77,6.758,9.09090909090909,12.121212121212121,24.242424242424242
0.32,3,2,4,4.44,4.46,2.73,6.569,9.375,6.25,12.5
0.51,3,2,4,5.11,5.13,3.17,7.488,5.88235294117647,3.9215686274509802,7.8431372549019605
1.23,3,5,3,6.83,6.79,4.29,8.681,2.4390243902439024,4.065040650406504,2.4390243902439024
0.33,6,4,3,4.42,4.45,2.71,6.198,18.18181818181818,12.121212121212121,9.09090909090909
0.38,3,5,7,4.68,4.71,2.87,6.855,7.894736842105263,13.157894736842104,18.42105263157895
1.74,6,6,3,7.84,7.9,4.62,9.289,3.4482758620689657,3.4482758620689657,1.7241379310344829
0.41,3,5,4,4.77,4.79,2.95,7.059,7.317073170731708,12.195121951219512,9.75609756097561
0.32,6,5,7,4.35,4.37,2.72,6.51,18.75,15.625,21.875
0.71,3,1,2,5.74,5.82,3.54,7.782,4.225352112676057,1.4084507042253522,2.8169014084507045
0.74,3,3,2,5.81,5.87,3.6,7.787,4.054054054054054,4.054054054054054,2.7027027027027026
0.7,4,2,5,5.78,5.71,3.47,7.992,5.714285714285714,2.857142857142857,7.142857142857143
1.73,4,7,3,7.75,7.68,4.71,9.123,2.3121387283236996,4.046242774566474,1.7341040462427746
0.5,3,5,6,5.16,5.2,3.13,7.383,6.0,10.0,12.0
3.01,3,7,1,8.99,8.93,5.86,9.713,0.9966777408637875,2.3255813953488373,0.33222591362126247
0.35,4,4,7,4.62,4.58,2.73,6.892,11.428571428571429,11.428571428571429,20.0
0.42,3,1,5,4.8,4.84,2.97,7.008,7.142857142857143,2.380952380952381,11.904761904761905
0.92,4,3,3,6.23,6.19,3.89,8.212,4.3478260869565215,3.260869565217391,3.260869565217391
1.35,6,5,4,7.06,7.12,4.42,8.929,4.444444444444444,3.7037037037037033,2.962962962962963
0.65,6,3,3,5.62,5.54,3.35,7.503,9.23076923076923,4.615384615384615,4.615384615384615
1.05,4,3,3,6.56,6.53,4.03,8.623,3.8095238095238093,2.857142857142857,2.857142857142857
2.27,4,7,5,8.41,8.36,5.23,9.75,1.7621145374449338,3.0837004405286343,2.202643171806167
0.3,6,6,4,4.27,4.28,2.68,6.009,20.0,20.0,13.333333333333334
0.61,3,6,4,5.43,5.46,3.37,7.394,4.918032786885246,9.836065573770492,6.557377049180328
1.0,6,5,7,6.28,6.36,3.94,8.703,6.0,5.0,7.0
0.32,6,5,5,4.37,4.41,2.71,6.33,18.75,15.625,15.625
1.6,3,5,2,7.51,7.43,4.64,9.153,1.875,3.125,1.25
1.0,4,2,2,6.48,6.44,3.87,8.503,4.0,2.0,2.0
0.3,4,3,4,4.35,4.32,2.63,6.654,13.333333333333334,10.0,13.333333333333334
0.72,6,4,4,5.71,5.67,3.6,7.815,8.333333333333334,5.555555555555555,5.555555555555555
1.0,4,5,2,6.45,6.41,3.94,8.274,4.0,5.0,2.0
1.04,6,1,3,6.49,6.56,3.97,8.562,5.769230769230769,0.9615384615384615,2.8846153846153846
0.51,4,4,7,5.35,5.16,3.16,7.655,7.8431372549019605,7.8431372549019605,13.72549019607843
1.02,4,1,4,6.64,6.59,3.86,8.833,3.9215686274509802,0.9803921568627451,3.9215686274509802
0.54,6,3,5,5.24,5.25,3.2,7.503,11.11111111111111,5.555555555555555,9.25925925925926
0.53,3,4,6,5.22,5.17,3.23,7.626,5.660377358490566,7.547169811320754,11.320754716981131
0.81,3,7,3,6.0,6.03,3.73,7.744,3.7037037037037033,8.641975308641975,3.7037037037037033
1.16,2,5,3,6.61,6.66,4.26,8.578,1.7241379310344829,4.310344827586207,2.586206896551724
0.83,3,5,2,6.08,6.05,3.68,7.697,3.6144578313253013,6.024096385542169,2.4096385542168677
0.65,1,3,4,5.7,5.62,3.3,7.54,1.5384615384615383,4.615384615384615,6.153846153846153
1.0,4,6,3,6.54,6.49,3.94,8.343,4.0,6.0,3.0
1.01,6,3,5,6.52,6.57,3.92,8.828,5.9405940594059405,2.9702970297029703,4.9504950495049505
1.09,4,5,4,6.64,6.58,4.06,8.644,3.6697247706422016,4.587155963302752,3.6697247706422016
0.7,3,5,3,5.64,5.76,3.5,7.714,4.285714285714286,7.142857142857143,4.285714285714286
0.33,3,4,4,4.39,4.41,2.75,6.361,9.09090909090909,12.121212121212121,12.121212121212121
1.24,3,5,3,6.92,6.84,4.24,8.848,2.4193548387096775,4.032258064516129,2.4193548387096775
0.62,4,5,7,5.49,5.46,3.39,7.711,6.451612903225807,8.064516129032258,11.290322580645162
0.59,3,4,3,5.37,5.39,3.35,7.266,5.084745762711865,6.779661016949153,5.084745762711865
1.5,4,6,4,7.3,7.26,4.55,9.111,2.6666666666666665,4.0,2.6666666666666665
0.41,3,4,8,4.76,4.77,2.96,7.151,7.317073170731708,9.75609756097561,19.51219512195122
0.3,3,4,8,4.32,4.34,2.69,6.76,10.0,13.333333333333334,26.666666666666668
1.21,3,6,5,6.83,6.87,4.22,8.809,2.479338842975207,4.958677685950414,4.132231404958678
1.43,3,5,6,7.25,7.29,4.48,9.223,2.097902097902098,3.4965034965034967,4.195804195804196
1.0,4,2,2,6.36,6.33,3.96,8.48,4.0,2.0,2.0
3.01,4,7,2,9.35,9.22,5.64,9.837,1.3289036544850499,2.3255813953488373,0.6644518272425249
1.07,4,1,2,6.67,6.59,4.01,8.381,3.7383177570093458,0.9345794392523364,1.8691588785046729
0.32,3,4,8,4.41,4.45,2.76,6.822,9.375,12.5,25.0
0.44,3,1,4,4.89,4.86,3.02,6.978,6.818181818181818,2.272727272727273,9.090909090909092
1.28,3,5,7,7.01,7.06,4.31,9.097,2.34375,3.90625,5.46875
0.58,2,4,3,5.3,5.33,3.39,7.236,3.4482758620689657,6.8965517241379315,5.172413793103448
0.31,3,2,4,4.37,4.39,2.68,6.599,9.67741935483871,6.451612903225807,12.903225806451614
1.23,4,3,4,6.9,6.94,4.21,9.1,3.252032520325203,2.4390243902439024,3.252032520325203
0.72,3,5,5,5.83,5.85,3.54,8.094,4.166666666666667,6.944444444444445,6.944444444444445
0.31,6,7,3,4.44,4.47,2.59,5.866,19.35483870967742,22.580645161290324,9.67741935483871
0.61,2,6,4,5.34,5.28,3.38,7.122,3.278688524590164,9.836065573770492,6.557377049180328
1.14,4,3,2,6.79,6.74,4.11,8.519,3.5087719298245617,2.6315789473684212,1.7543859649122808
0.31,3,4,8,4.38,4.4,2.69,6.792,9.67741935483871,12.903225806451614,25.806451612903228
0.43,3,4,5,4.84,4.86,3.0,6.849,6.976744186046512,9.30232558139535,11.627906976744185
0.39,4,3,7,4.75,4.73,2.83,7.162,10.256410256410255,7.692307692307692,17.94871794871795
0.33,3,6,2,4.49,4.51,2.78,5.999,9.09090909090909,18.18181818181818,6.0606060606060606
2.22,4,6,3,8.33,8.28,5.21,9.554,1.8018018018018016,2.7027027027027026,1.3513513513513513
0.39,3,1,7,4.72,4.76,2.88,7.076,7.692307692307692,2.564102564102564,17.94871794871795
1.06,3,2,3,6.52,6.55,4.1,8.69,2.830188679245283,1.8867924528301885,2.830188679245283
1.02,3,1,4,6.44,6.38,4.02,8.833,2.941176470588235,0.9803921568627451,3.9215686274509802
0.3,3,1,4,4.32,4.29,2.66,6.738,10.0,3.3333333333333335,13.333333333333334
0.43,4,3,5,4.93,4.89,2.94,7.029,9.30232558139535,6.976744186046512,11.627906976744185
0.41,3,2,7,4.82,4.79,2.91,7.366,7.317073170731708,4.878048780487805,17.073170731707318
0.33,3,3,4,4.45,4.48,2.75,6.501,9.09090909090909,9.09090909090909,12.121212121212121
0.92,2,1,3,6.17,6.22,3.92,8.202,2.1739130434782608,1.0869565217391304,3.260869565217391
1.01,2,2,2,6.36,6.29,4.04,8.449,1.9801980198019802,1.9801980198019802,1.9801980198019802
0.31,3,4,3,4.38,4.4,2.71,6.1,9.67741935483871,12.903225806451614,9.67741935483871
0.54,6,4,5,5.23,5.26,3.23,7.47,11.11111111111111,7.4074074074074066,9.25925925925926
1.05,4,5,3,6.45,6.5,4.01,8.436,3.8095238095238093,4.761904761904762,2.857142857142857
0.33,3,5,3,4.5,4.53,2.75,6.236,9.09090909090909,15.15151515151515,9.09090909090909
0.6,3,2,2,5.42,5.48,3.34,7.199,5.0,3.3333333333333335,3.3333333333333335
0.3,3,5,6,4.3,4.34,2.66,6.405,10.0,16.666666666666668,20.0
0.51,2,3,4,5.04,5.1,3.2,7.275,3.9215686274509802,5.88235294117647,7.8431372549019605
0.35,3,3,5,4.52,4.49,2.81,6.919,8.571428571428571,8.571428571428571,14.285714285714286
1.2,3,4,3,6.92,6.84,4.21,8.78,2.5,3.3333333333333335,2.5
0.33,3,6,2,4.49,4.5,2.75,5.999,9.09090909090909,18.18181818181818,6.0606060606060606
0.91,6,3,5,6.19,6.14,3.89,8.395,6.593406593406593,3.2967032967032965,5.4945054945054945
0.74,3,2,6,5.82,5.87,3.58,8.673,4.054054054054054,2.7027027027027026,8.108108108108109
1.1,6,6,5,6.63,6.68,4.04,8.556,5.454545454545454,5.454545454545454,4.545454545454545
0.3,3,4,4,4.34,4.37,2.69,6.301,10.0,13.333333333333334,13.333333333333334
0.71,2,6,7,5.67,5.71,3.61,7.843,2.8169014084507045,8.450704225352114,9.859154929577466
0.92,4,3,3,6.39,6.37,3.73,8.132,4.3478260869565215,3.260869565217391,3.260869565217391
0.9,2,4,5,6.01,6.08,3.9,8.288,2.2222222222222223,4.444444444444445,5.555555555555555
0.7,2,3,4,5.76,5.84,3.43,7.954,2.857142857142857,4.285714285714286,5.714285714285714
0.3,3,7,5,4.28,4.3,2.66,6.019,10.0,23.333333333333336,16.666666666666668
0.41,4,6,6,4.74,4.71,2.97,6.967,9.75609756097561,14.634146341463415,14.634146341463415
0.5,2,4,5,5.3,5.24,3.03,7.265,4.0,8.0,10.0
1.21,4,6,5,6.86,6.84,4.19,8.62,3.3057851239669422,4.958677685950414,4.132231404958678
0.25,3,3,7,4.01,4.03,2.5,6.558,12.0,12.0,28.0
0.32,2,1,4,4.48,4.54,2.65,6.686,6.25,3.125,12.5
1.02,6,4,3,6.41,6.37,4.04,8.459,5.88235294117647,3.9215686274509802,2.941176470588235
1.03,3,2,2,6.52,6.46,4.01,8.538,2.912621359223301,1.941747572815534,1.941747572815534
0.87,6,5,2,6.15,6.19,3.77,8.004,6.8965517241379315,5.747126436781609,2.2988505747126435
0.75,4,1,3,6.0,5.96,3.58,7.923,5.333333333333333,1.3333333333333333,4.0
0.54,3,3,5,5.26,5.27,3.24,7.697,5.555555555555555,5.555555555555555,9.25925925925926
1.04,4,1,7,6.61,6.53,4.0,9.34,3.846153846153846,0.9615384615384615,6.730769230769231
2.31,4,6,2,8.7,8.64,5.1,9.741,1.7316017316017316,2.5974025974025974,0.8658008658008658
1.51,4,4,5,7.19,7.28,4.53,9.573,2.6490066225165565,2.6490066225165565,3.3112582781456954
0.38,4,6,4,4.61,4.58,2.87,6.7,10.526315789473685,15.789473684210526,10.526315789473685
0.33,3,4,8,4.51,4.48,2.77,6.958,9.09090909090909,12.121212121212121,24.242424242424242
1.01,4,5,3,6.48,6.41,4.01,8.457,3.9603960396039604,4.9504950495049505,2.9702970297029703
0.34,4,6,7,4.4,4.44,2.76,6.439,11.76470588235294,17.64705882352941,20.588235294117645
0.71,4,2,4,5.53,5.67,3.54,7.886,5.633802816901409,2.8169014084507045,5.633802816901409
0.55,3,3,6,5.28,5.31,3.24,7.874,5.454545454545454,5.454545454545454,10.909090909090908
1.0,4,2,3,6.38,6.34,3.91,8.61,4.0,2.0,3.0
1.85,3,6,6,7.91,7.86,4.92,9.564,1.6216216216216215,3.243243243243243,3.243243243243243
0.79,3,2,3,6.01,5.96,3.67,8.093,3.7974683544303796,2.531645569620253,3.7974683544303796
0.38,3,1,3,4.64,4.67,2.89,6.529,7.894736842105263,2.6315789473684212,7.894736842105263
0.51,3,1,4,5.14,5.12,3.17,7.485,5.88235294117647,1.9607843137254901,7.8431372549019605
1.52,3,7,2,7.28,7.2,4.54,8.714,1.9736842105263157,4.605263157894737,1.3157894736842106
0.4,3,1,3,4.78,4.74,2.95,6.851,7.5,2.5,7.5
0.25,6,2,6,4.0,4.03,2.52,6.306,24.0,8.0,24.0
0.32,4,6,7,4.45,4.4,2.66,6.628,12.5,18.75,21.875
0.35,6,6,5,4.53,4.59,2.77,6.314,17.142857142857142,17.142857142857142,14.285714285714286
0.52,3,3,2,5.18,5.2,3.18,7.022,5.769230769230769,5.769230769230769,3.846153846153846
0.31,2,1,3,4.31,4.35,2.75,6.299,6.451612903225807,3.2258064516129035,9.67741935483871
0.76,3,7,5,5.88,5.84,3.63,7.744,3.9473684210526314,9.210526315789474,6.578947368421052
0.74,4,1,4,5.77,5.72,3.6,8.08,5.405405405405405,1.3513513513513513,5.405405405405405
1.01,6,7,2,6.34,6.37,3.99,8.27,5.9405940594059405,6.930693069306931,1.9801980198019802
0.97,4,3,3,6.39,6.36,3.82,8.461,4.123711340206186,3.0927835051546393,3.0927835051546393
1.01,3,4,4,6.41,6.37,3.99,8.717,2.9702970297029703,3.9603960396039604,3.9603960396039604
0.31,4,4,7,4.35,4.32,2.66,6.953,12.903225806451614,12.903225806451614,22.580645161290324
0.9,2,3,2,6.08,6.0,3.88,7.994,2.2222222222222223,3.333333333333333,2.2222222222222223
0.32,6,6,6,4.33,4.37,2.74,6.33,18.75,18.75,18.75
1.53,6,3,5,7.33,7.3,4.62,9.34,3.9215686274509802,1.9607843137254901,3.2679738562091503
1.33,4,5,4,7.13,7.09,4.26,8.797,3.007518796992481,3.7593984962406015,3.007518796992481
1.03,3,2,3,6.44,6.47,4.03,8.622,2.912621359223301,1.941747572815534,2.912621359223301
0.4,4,4,3,4.72,4.66,2.89,6.802,10.0,10.0,7.5
1.51,4,4,3,7.32,7.3,4.5,9.282,2.6490066225165565,2.6490066225165565,1.9867549668874172
0.41,4,4,4,4.8,4.85,2.93,6.649,9.75609756097561,9.75609756097561,9.75609756097561
1.26,6,1,4,7.03,7.15,4.22,9.19,4.761904761904762,0.7936507936507936,3.1746031746031744
0.72,3,3,4,5.76,5.8,3.59,8.003,4.166666666666667,4.166666666666667,5.555555555555555
0.3,2,5,6,4.24,4.28,2.69,6.405,6.666666666666667,16.666666666666668,20.0
0.58,3,1,4,5.42,5.35,3.32,7.501,5.172413793103448,1.7241379310344829,6.8965517241379315
0.5,4,3,1,5.15,5.05,3.15,6.746,8.0,6.0,2.0
0.43,3,5,4,4.85,4.88,3.03,6.657,6.976744186046512,11.627906976744185,9.30232558139535
1.75,3,5,1,7.75,7.78,4.78,8.892,1.7142857142857142,2.857142857142857,0.5714285714285714
1.14,3,5,4,6.68,6.65,4.17,8.715,2.6315789473684212,4.385964912280702,3.5087719298245617
0.92,6,3,2,6.19,6.23,3.9,8.262,6.521739130434782,3.260869565217391,2.1739130434782608
1.01,6,4,7,6.47,6.41,3.98,9.033,5.9405940594059405,3.9603960396039604,6.930693069306931
